file,class,type,rfc,lcom,loc
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\PropertySourcesPropertyResolver.java,com.taobao.arthas.core.env.PropertySourcesPropertyResolver,class,11,15,45
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\reflect\FieldUtils.java,com.taobao.arthas.core.util.reflect.FieldUtils,class,41,171,164
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\impl\http\BasicHttpAuthenticatorHandler.java,com.taobao.arthas.core.shell.term.impl.http.BasicHttpAuthenticatorHandler,class,38,6,101
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\ClassSetVO.java,com.taobao.arthas.core.command.model.ClassSetVO,class,1,0,34
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\JvmView.java,com.taobao.arthas.core.command.view.JvmView,class,33,28,91
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\ThreadLocalWatch.java,com.taobao.arthas.core.util.ThreadLocalWatch$LongStack,innerclass,0,0,32
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\LoggerModel.java,com.taobao.arthas.core.command.model.LoggerModel,class,0,26,33
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\advisor\InvokeTraceable.java,com.taobao.arthas.core.advisor.InvokeTraceable,interface,0,3,5
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\GroovyAdviceListener.java,com.taobao.arthas.core.command.monitor200.GroovyAdviceListener$CommandProcessAdaptor,innerclass,2,0,18
E:\OOD\projectsnew\arthas-master\memorycompiler\src\main\java\com\taobao\arthas\compiler\DynamicCompilerException.java,com.taobao.arthas.compiler.DynamicCompilerException,class,15,4,43
E:\OOD\projectsnew\arthas-master\boot\src\test\java\com\taobao\arthas\boot\DownloadUtilsTest.java,com.taobao.arthas.boot.DownloadUtilsTest,class,17,4,31
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\MutablePropertySources.java,com.taobao.arthas.core.env.MutablePropertySources,class,27,54,133
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\system\impl\JobControllerImpl.java,com.taobao.arthas.core.shell.system.impl.JobControllerImpl$Anonymous1,anonymous,2,0,7
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\cluster\TunnelClusterStore.java,com.alibaba.arthas.tunnel.server.cluster.TunnelClusterStore,interface,0,10,7
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\metrics\SumRateCounter.java,com.taobao.arthas.core.util.metrics.SumRateCounter,class,3,0,24
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\TunnelClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.TunnelClientSocketClientHandler,class,31,0,106
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\view\TreeView.java,com.taobao.arthas.core.view.TreeView$Callback,interface,0,0,3
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\collection\GaStack.java,com.taobao.arthas.core.util.collection.GaStack,interface,0,6,6
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\TimeFragment.java,com.taobao.arthas.core.command.monitor200.TimeFragment,class,0,0,19
E:\OOD\projectsnew\arthas-master\client\src\main\java\org\apache\commons\net\telnet\TerminalTypeOptionHandler.java,org.apache.commons.net.telnet.TerminalTypeOptionHandler,class,2,0,28
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\session\SessionManager.java,com.taobao.arthas.core.shell.session.SessionManager,interface,0,28,10
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\MemoryCompilerModel.java,com.taobao.arthas.core.command.model.MemoryCompilerModel,class,0,26,33
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\logger\LogbackHelper.java,com.taobao.arthas.core.command.logger.LogbackHelper,class,37,4,117
